policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported,incident_year,incident_month,incident_day
2,400,1430.78,74,2,1,4,5,1,0,2,3,4,1470,6,1,4,0,1,8161.36,11677.6,1,2024,6,13
8,300,854.49,74,1,0,3,1,3,1,2,3,7,5579,0,3,4,5,0,18561.79,18027.81,0,2025,3,23
4,400,1247.28,28,2,3,1,5,1,3,2,2,4,13241,14,4,4,1,0,10734.61,10375.59,0,2025,1,26
0,600,622.42,37,1,3,6,6,1,1,2,2,5,5562,22,3,3,5,0,13188.92,14204.34,0,2024,6,3
4,700,1458.17,31,2,3,5,5,2,2,1,1,6,1168,18,4,2,4,0,21864.69,24038.84,0,2024,5,21
8,700,1015.6,32,1,0,4,0,1,3,0,0,1,734,20,2,4,5,0,12483.84,11780.94,0,2025,3,11
8,300,1254.39,30,2,1,1,5,0,1,0,0,8,7893,16,4,0,3,1,16687.4,19045.75,0,2024,12,26
4,700,1288.08,29,0,3,3,5,1,1,0,2,4,11015,5,1,3,5,0,7111.4,8272.63,0,2025,10,19
5,500,942.22,61,0,0,0,6,1,3,2,0,5,5338,22,1,4,5,1,1603.74,2549.55,0,2023,11,19
2,700,1277.15,19,2,1,1,1,3,3,0,0,1,9890,17,3,3,0,0,18778.37,15959.84,0,2024,5,7
1,700,839.16,46,2,3,5,4,2,0,2,1,3,9863,6,4,3,3,0,17022.79,22383.95,0,2023,11,23
4,400,886.71,41,2,0,7,4,3,2,2,2,0,12974,4,4,4,5,1,935.88,936.22,0,2024,11,22
5,300,626.23,33,0,2,1,1,0,0,1,3,9,1035,3,1,0,3,0,9042.2,17788.89,0,2024,4,8
1,300,1288.93,59,0,0,0,3,2,3,0,0,7,776,23,4,1,5,1,21442.46,24667.55,0,2024,8,12
1,700,1202.23,45,0,3,3,2,0,2,2,3,5,8219,12,3,2,1,0,2671.49,3132.11,0,2024,4,18
1,700,1356.73,33,1,3,1,5,3,0,0,1,2,7297,16,1,1,2,1,12704.15,17768.74,0,2024,10,3
9,700,1344.16,34,1,3,4,0,0,3,2,0,7,3826,0,4,3,2,0,9643.23,12568.11,0,2025,1,6
8,400,1165.83,60,0,3,0,3,3,0,1,2,1,16993,9,2,3,1,1,11010.22,14253.03,0,2025,9,9
1,500,1116.42,71,1,0,4,4,0,0,2,0,2,5297,20,3,1,4,0,2418.45,3294.48,0,2024,8,1
6,600,806.6,62,0,2,5,1,0,0,0,1,1,17048,14,4,2,3,0,18352.24,18227.64,0,2024,4,16
2,500,688.68,70,2,3,0,6,1,3,1,1,6,4745,14,4,1,3,1,20963.93,24203.5,0,2024,3,25
8,400,1106.37,25,2,2,4,5,0,2,1,2,5,13275,11,4,1,5,0,22634.14,22161.42,0,2024,11,16
0,600,1197.21,23,0,2,0,3,2,3,2,3,6,4214,8,1,1,1,1,571.25,1104.58,1,2025,3,14
8,1000,1455.1,41,1,2,1,6,0,2,1,2,2,8718,2,4,4,3,0,14782.66,15486.28,0,2025,2,13
4,200,773.47,58,2,3,3,1,1,1,0,3,7,15803,3,1,1,0,0,5069.34,5616.48,0,2024,7,27
3,500,1010.2,49,1,1,6,1,0,1,0,2,4,1983,20,2,4,5,1,12083.73,12744.23,0,2024,5,13
5,300,838.35,24,1,2,7,1,0,3,2,3,2,17508,6,4,0,4,1,6450.68,9474.52,0,2024,11,28
4,1000,699.57,40,0,2,7,6,3,3,1,1,1,13392,1,4,1,0,1,26411.93,22495.12,0,2024,5,29
2,1000,634.82,69,2,3,2,0,3,2,1,2,7,9953,6,4,4,4,1,5989.84,5383.95,0,2024,8,5
